Destination Port,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,Average Packet Size,Avg Bwd Segment Size,Subflow Fwd Bytes,Subflow Bwd Bytes,Init_Win_bytes_backward,Idle Mean,Label
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,88900000.0,DoS GoldenEye
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
4321,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
80,26,11607,20,4380,4380,1163.3,1903.962654,3625073.789,1292.555556,1934.5,26,11607,229,0.0,DDoS
52460,31,6,31,6,31,17.0,16.35033129,267.3333333,22.66666667,6.0,31,6,0,0.0,BENIGN
22,2632,6634,408,976,976,110.3095238,240.100831,57648.40906,111.6385542,150.7727273,2632,6634,245,0.0,BENIGN
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,236,0.0,Web Attack � Sql Injection
21,105,188,22,34,34,11.72,12.58808961,158.46,12.20833333,12.53333333,105,188,227,0.0,FTP-Patator
1163,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
57256,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,16097,0.0,BENIGN
80,26,11601,20,2920,2920,1162.7,1494.366611,2233131.567,1291.888889,1933.5,26,11601,229,0.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
53,82,210,41,105,105,66.6,35.05424368,1228.8,83.25,105.0,82,210,-1,0.0,BENIGN
80,328,11595,328,8688,8688,1324.777778,2919.343667,8522567.444,1490.375,2319.0,328,11595,235,0.0,DoS Hulk
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
2983,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,16393,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
80,336,11632,336,7240,7240,748.0,1900.934226,3613550.933,797.8666667,1938.666667,336,11632,235,0.0,DoS GoldenEye
80,329,11632,329,11632,11632,996.75,3350.570348,11200000.0,1087.363636,2908.0,329,11632,235,6897454.0,DoS GoldenEye
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,5968332.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
444,15754,240,1460,6,1460,186.3953488,402.603769,162089.7948,188.5882353,6.0,15754,240,1452,55700000.0,Infiltration
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
80,2541,6,231,6,231,127.35,117.5733925,13823.50263,134.0526316,2.0,2541,6,0,19200000.0,DoS slowloris
80,26,11607,20,5755,5755,1163.3,2131.87096,4544873.789,1292.555556,1934.5,26,11607,229,0.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,236,0.0,Web Attack � Brute Force
80,310,11595,304,4344,4344,744.0625,1286.173367,1654241.929,793.6666667,1656.428571,310,11595,235,85400000.0,DoS Hulk
6839,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,397,11632,397,5792,5792,801.9333333,1793.39584,3216268.638,859.2142857,1661.714286,397,11632,235,0.0,DoS GoldenEye
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
20221,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,442,11632,442,11632,11632,1006.166667,3348.68131,11200000.0,1097.636364,2908.0,442,11632,235,6863752.0,DoS GoldenEye
8080,207,134,195,128,195,42.625,75.57576615,5711.696429,48.71428571,44.66666667,207,134,237,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS slowloris
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,1985,11632,397,8688,8688,716.6842105,2039.872274,4161078.895,756.5,1938.666667,1985,11632,235,0.0,DoS GoldenEye
54531,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,32832,0.0,BENIGN
80,740,7037,382,3883,3883,555.5,1110.744501,1233753.346,598.2307692,1172.833333,740,7037,243,0.0,Web Attack � XSS
32777,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,12,0,6,0,6,6.0,0.0,0.0,9.0,0.0,12,0,-1,0.0,BENIGN
53,78,160,39,80,80,55.4,22.45662486,504.3,69.25,80.0,78,160,-1,0.0,BENIGN
80,26,11601,20,8760,8760,1453.375,3113.952607,9696700.839,1661.0,2900.25,26,11601,229,0.0,DDoS
80,2390,6,239,6,239,133.1111111,120.9316233,14624.45752,140.9411765,2.0,2390,6,0,19300000.0,DoS slowloris
80,262,11632,262,7288,7288,849.5714286,2182.960612,4765317.033,914.9230769,2326.4,262,11632,235,6670559.0,DoS GoldenEye
8080,207,134,195,128,195,42.625,75.57576615,5711.696429,48.71428571,44.66666667,207,134,237,0.0,Bot
443,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,BENIGN
32772,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,56,11607,20,4380,4380,729.3125,1491.866872,2225666.763,777.9333333,1658.142857,56,11607,229,82200000.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
56975,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,33304,0.0,BENIGN
80,26,11601,20,8760,8760,1453.375,3113.952607,9696700.839,1661.0,2900.25,26,11601,229,0.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,345,11595,345,5803,5803,852.8571429,1851.771703,3429058.44,918.4615385,1932.5,345,11595,235,98500000.0,DoS Hulk
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,0.0,DDoS
52320,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,8324042.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,235,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
3914,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
21,107,188,22,34,34,11.8,12.64252085,159.8333333,12.29166667,12.53333333,107,188,227,0.0,FTP-Patator
444,8299,7556917,517,17376,17376,1713.525708,2669.389319,7125639.337,1713.91391,4370.686524,8299,7556917,235,5024984.0,Heartbleed
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,367,11595,355,4344,4344,854.8571429,1565.524235,2450866.132,920.6153846,1449.375,367,11595,235,99400000.0,DoS Hulk
51731,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,712,0,356,0,356,356.0,0.0,0.0,534.0,0.0,712,0,-1,0.0,DoS Slowhttptest
80,341,11595,323,7240,7240,918.6153846,2243.925598,5035202.09,995.1666667,1932.5,341,11595,235,101000000.0,DoS Hulk
80,523,530,523,530,530,117.0,232.171273,53903.5,131.625,132.5,523,530,235,0.0,Web Attack � Sql Injection
3647,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,529,0,520,0,520,48.09090909,156.5378258,24504.09091,52.9,0.0,529,0,235,101000000.0,DoS Slowhttptest
80,1912,0,239,0,239,106.2222222,121.3102758,14716.18301,112.4705882,0.0,1912,0,28960,8342269.333,DoS slowloris
444,7366,0,1460,0,1460,825.1111111,659.0086199,434292.3611,928.25,0.0,7366,0,-1,9600510.0,Infiltration
22,2008,2745,640,976,976,84.875,186.8396554,34909.05682,86.41818182,85.78125,2008,2745,247,0.0,SSH-Patator
80,30,0,6,0,6,6.0,0.0,0.0,7.2,0.0,30,0,-1,0.0,DDoS
80,16,0,8,0,8,4.8,4.38178046,19.2,6.0,0.0,16,0,235,102000000.0,DoS slowloris
21,97,188,22,34,34,11.4,12.39623599,153.6666667,11.875,12.53333333,97,188,227,0.0,FTP-Patator
65000,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
6699,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
53,70,102,35,51,51,41.4,8.76356092,76.8,51.75,51.0,70,102,-1,0.0,BENIGN
3071,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
80,1063,454,1045,448,1045,168.5555555556,360.0649632744,129646.777777778,189.625,151.3333333333,1063,454,978,0.0,BENIGN
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
8291,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
21,106,188,24,34,34,11.76,12.62695529,159.44,12.25,12.53333333,106,188,227,0.0,FTP-Patator
21,101,188,22,34,34,11.56,12.49693296,156.1733333,12.04166667,12.53333333,101,188,227,0.0,FTP-Patator
80,1928,3525,482,3525,3525,363.5333333,901.2916816,812326.6952,389.5,881.25,1928,3525,235,0.0,DoS GoldenEye
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,537,1881,537,1881,1881,268.6666667,630.1680331,397111.75,302.25,627.0,537,1881,235,0.0,Web Attack � Sql Injection
80,712,0,356,0,356,356.0,0.0,0.0,534.0,0.0,712,0,-1,0.0,DoS Slowhttptest
80,24,0,6,0,6,6.0,0.0,0.0,7.5,0.0,24,0,-1,0.0,DDoS
22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,247,0.0,SSH-Patator
80,231,0,231,0,231,33.0,87.30979327,7623.0,38.5,0.0,231,0,235,0.0,DoS slowloris
1719,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,444,3525,444,3525,3525,360.8181818,1057.859803,1119067.364,396.9,881.25,444,3525,235,0.0,DoS GoldenEye
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,358,1707,358,1707,1707,229.4444444,566.5918088,321026.2778,258.125,426.75,358,1707,235,0.0,Web Attack � XSS
21,14,0,14,0,14,9.333333333,8.082903769,65.33333333,14.0,0.0,14,0,-1,0.0,FTP-Patator
80,8,0,8,0,8,5.333333333,4.618802154,21.33333333,8.0,0.0,8,0,235,0.0,DoS slowloris
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,8,0,8,0,8,5.333333333,4.618802154,21.33333333,8.0,0.0,8,0,235,0.0,DoS slowloris
80,359,0,351,0,351,44.875,123.7248531,15307.83929,51.28571429,0.0,359,0,235,110000000.0,DoS Slowhttptest
22,2008,2745,640,976,976,84.875,186.8396554,34909.05682,86.41818182,85.78125,2008,2745,247,0.0,SSH-Patator
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
80,530,0,520,0,520,66.25,183.3760773,33626.78571,75.71428571,0.0,530,0,235,109000000.0,DoS Slowhttptest
80,289,11595,289,5792,5792,848.8571429,1667.683048,2781166.747,914.1538462,1932.5,289,11595,235,82800000.0,DoS Hulk
1974,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,18700000.0,DoS Slowhttptest
22,2008,2745,640,976,976,88.01851852,189.5902723,35944.47135,89.67924528,85.78125,2008,2745,247,0.0,SSH-Patator
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
2990,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,16393,0.0,Bot
52712,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
22,2008,2745,640,976,976,93.19607843,193.9302988,37608.96078,95.06,88.5483871,2008,2745,247,0.0,SSH-Patator
80,377,6,377,6,377,95.75,187.5213321,35164.25,127.6666667,6.0,377,6,0,108000000.0,DoS GoldenEye
80,301,11632,301,5840,5840,852.3571429,2104.432816,4428637.478,917.9230769,2326.4,301,11632,235,6848332.0,DoS GoldenEye
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
80,367,0,351,0,351,45.875,123.4161803,15231.55357,52.42857143,0.0,367,0,235,109000000.0,DoS Slowhttptest
60020,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
3737,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
53,84,310,42,155,155,87.2,61.892649,3830.7,109.0,155.0,84,310,-1,0.0,BENIGN
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
1070,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,537,1881,537,1881,1881,268.6666667,630.1680331,397111.75,302.25,470.25,537,1881,235,0.0,Web Attack � Sql Injection
80,30,0,6,0,6,6.0,0.0,0.0,7.2,0.0,30,0,-1,7130841.0,DDoS
52710,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
21,14,0,14,0,14,7.0,8.082903769,65.33333333,9.333333333,0.0,14,0,0,0.0,FTP-Patator
80,2541,6,231,6,231,141.5,115.4547276,13329.79412,149.8235294,2.0,2541,6,0,19300000.0,DoS slowloris
6004,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
22,2008,2745,640,976,976,89.67924528,191.0076291,36483.91437,91.40384615,88.5483871,2008,2745,247,0.0,SSH-Patator
80,26,11601,20,7215,7215,1453.375,2786.259804,7763243.696,1661.0,2900.25,26,11601,229,0.0,DDoS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,5109639.0,DoS GoldenEye
8080,0,18,0,6,6,2.571428571,3.207134903,10.28571429,3.0,6.0,0,18,0,0.0,Bot
4242,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
80,16,0,8,0,8,4.8,4.38178046,19.2,6.0,0.0,16,0,235,105000000.0,DoS slowloris
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,236,0.0,Web Attack � Sql Injection
80,2541,6,231,6,231,134.0526316,116.8034787,13643.05263,141.5,2.0,2541,6,0,19300000.0,DoS slowloris
80,0,483,0,483,483,120.75,241.5,58322.25,161.0,241.5,0,483,235,0.0,DoS slowloris
80,364,11632,364,7288,7288,799.7333333,2113.294228,4466012.495,856.8571429,2326.4,364,11632,235,5370026.0,DoS GoldenEye
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � XSS
444,12264,7879536,4344,15928,15928,1621.05194,2471.802162,6109805.929,1621.384805,3808.378927,12264,7879536,235,0.0,Heartbleed
51624,6,6,6,6,6,6.0,0.0,0.0,9.0,6.0,6,6,256,0.0,Bot
80,333,11595,327,4344,4344,795.2,1314.780275,1728647.171,852.0,1656.428571,333,11595,235,83600000.0,DoS Hulk
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS Hulk
146,0,6,0,6,6,2.0,3.464101615,12.0,3.0,6.0,0,6,0,0.0,PortScan
80,30,0,6,0,6,6.0,0.0,0.0,7.2,0.0,30,0,-1,7899825.0,DDoS
444,5108,90,1460,6,1460,169.6129032,354.2817784,125515.5785,175.2666667,6.0,5108,90,652,98500000.0,Infiltration
22,2008,2745,640,976,976,88.01851852,189.5902723,35944.47135,89.67924528,85.78125,2008,2745,247,0.0,SSH-Patator
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,28960,0.0,Web Attack � Brute Force
80,56,11607,20,8675,8675,833.5,2386.768615,5696664.423,897.6153846,2321.4,56,11607,229,44700000.0,DDoS
443,964,72007,207,2920,2920,810.7888889,776.644851,603177.2246,819.8988764,1333.462963,964,72007,127,0.0,BENIGN
8080,207,134,195,128,195,42.625,75.57576615,5711.696429,48.71428571,44.66666667,207,134,237,0.0,Bot
80,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,-1,0.0,DoS slowloris
32771,2,6,2,6,6,3.333333333,2.309401077,5.333333333,5.0,6.0,2,6,0,0.0,PortScan
21,107,188,23,34,34,11.8,12.64911064,160.0,12.29166667,12.53333333,107,188,227,0.0,FTP-Patator
22,2008,2745,640,976,976,88.01851852,189.5902723,35944.47135,89.67924528,85.78125,2008,2745,247,0.0,SSH-Patator
